cbID,cbType,cbCores,cbCSA (mm),cbDiameter,cbWeight (kg/m),cbArrangement
cb015,Cu/XLPE/LSZH/AWA/LSZH,1c,95,22.3,1.24,Quadcleat
cb016,Cu/XLPE/LSZH/AWA/LSZH,1c,120,24.2,1.51,Quadcleat
cb017,Cu/XLPE/LSZH/AWA/LSZH,1c,150,27.4,1.9,Quadcleat
cb018,Cu/XLPE/LSZH/AWA/LSZH,1c,185,30,2.32,Quadcleat
cb019,Cu/XLPE/LSZH/AWA/LSZH,1c,240,32.8,2.93,Quadcleat
cb020,Cu/XLPE/LSZH/AWA/LSZH,1c,300,35.6,3.58,Quadcleat
cb021,Cu/XLPE/LSZH/AWA/LSZH,1c,400,40.5,4.6,Quadcleat
cb022,Cu/XLPE/LSZH/AWA/LSZH,1c,500,44.2,5.77,Quadcleat
cb023,Cu/XLPE/LSZH/AWA/LSZH,1c,630,48.8,7.25,Quadcleat
cb024,Cu/XLPE/LSZH/AWA/LSZH,1c,800,55.4,9.381,Quadcleat
cb025,Cu/XLPE/LSZH/AWA/LSZH,1c,1000,60.6,11.54,Quadcleat
cb026,Cu/XLPE/LSZH/AWA/LSZH,1c,50,17.5,0.8,Trefoil
cb027,Cu/XLPE/LSZH/AWA/LSZH,1c,70,20.2,0.96,Trefoil
cb028,Cu/XLPE/LSZH/AWA/LSZH,1c,95,22.3,1.24,Trefoil
cb029,Cu/XLPE/LSZH/AWA/LSZH,1c,120,24.2,1.51,Trefoil
cb030,Cu/XLPE/LSZH/AWA/LSZH,1c,150,27.4,1.9,Trefoil
cb031,Cu/XLPE/LSZH/AWA/LSZH,1c,185,30,2.32,Trefoil
cb032,Cu/XLPE/LSZH/AWA/LSZH,1c,240,32.8,2.93,Trefoil
cb033,Cu/XLPE/LSZH/AWA/LSZH,1c,300,35.6,3.58,Trefoil
cb034,Cu/XLPE/LSZH/AWA/LSZH,1c,400,40.5,4.6,Trefoil
cb035,Cu/XLPE/LSZH/AWA/LSZH,1c,500,44.2,5.77,Trefoil
cb036,Cu/XLPE/LSZH/AWA/LSZH,1c,630,48.8,7.25,Trefoil
cb037,Cu/XLPE/LSZH/AWA/LSZH,1c,800,55.4,9.381,Trefoil
cb038,Cu/XLPE/LSZH/AWA/LSZH,1c,1000,60.6,11.54,Trefoil
cb039,Cu/XLPE/LSZH/SWA/LSZH,2c,1.5,12.1,0.302,Single
cb040,Cu/XLPE/LSZH/SWA/LSZH,2c,2.5,13.6,0.346,Single
cb041,Cu/XLPE/LSZH/SWA/LSZH,2c,4,14.7,0.41,Single
cb042,Cu/XLPE/LSZH/SWA/LSZH,2c,6,15.9,0.499,Single
cb043,Cu/XLPE/LSZH/SWA/LSZH,2c,10,18,0.648,Single
cb044,Cu/XLPE/LSZH/SWA/LSZH,2c,16,20.4,0.978,Single
cb045,Cu/XLPE/LSZH/SWA/LSZH,2c,25,20.4,1.29,Single
cb046,Cu/XLPE/LSZH/SWA/LSZH,2c,35,23.3,1.5,Single
cb047,Cu/XLPE/LSZH/SWA/LSZH,2c,50,25.8,1.89,Single
cb048,Cu/XLPE/LSZH/SWA/LSZH,2c,70,29,2.45,Single
cb049,Cu/XLPE/LSZH/SWA/LSZH,2c,95,33.1,3.3,Single
cb050,Cu/XLPE/LSZH/SWA/LSZH,2c,120,39.3,4.02,Single
cb051,Cu/XLPE/LSZH/SWA/LSZH,2c,150,39.3,4.75,Single
cb052,Cu/XLPE/LSZH/SWA/LSZH,3c,1.5,12.6,0.33,Single
cb053,Cu/XLPE/LSZH/SWA/LSZH,3c,2.5,14.1,0.39,Single
cb054,Cu/XLPE/LSZH/SWA/LSZH,3c,4,15.3,0.464,Single
cb055,Cu/XLPE/LSZH/SWA/LSZH,3c,6,16.6,0.568,Single
cb056,Cu/XLPE/LSZH/SWA/LSZH,3c,10,19.5,0.866,Single
cb057,Cu/XLPE/LSZH/SWA/LSZH,3c,16,21.6,1.152,Single
cb058,Cu/XLPE/LSZH/SWA/LSZH,3c,25,23.6,1.8,Single
cb059,Cu/XLPE/LSZH/SWA/LSZH,3c,35,25.7,2.23,Single
cb060,Cu/XLPE/LSZH/SWA/LSZH,3c,50,28.5,2.49,Single
cb061,Cu/XLPE/LSZH/SWA/LSZH,3c,70,32.2,3.29,Single
cb062,Cu/XLPE/LSZH/SWA/LSZH,3c,95,37,4.44,Single
cb063,Cu/XLPE/LSZH/SWA/LSZH,3c,120,40.4,5.47,Single
cb064,Cu/XLPE/LSZH/SWA/LSZH,3c,150,45.5,6.93,Single
cb065,Cu/XLPE/LSZH/SWA/LSZH,4c,1.5,13.5,0.365,Single
cb066,Cu/XLPE/LSZH/SWA/LSZH,4c,2.5,15,0.438,Single
cb067,Cu/XLPE/LSZH/SWA/LSZH,4c,4,16.4,0.532,Single
cb068,Cu/XLPE/LSZH/SWA/LSZH,4c,6,18.7,0.764,Single
cb069,Cu/XLPE/LSZH/SWA/LSZH,4c,10,21.1,1.013,Single
cb070,Cu/XLPE/LSZH/SWA/LSZH,4c,16,23.4,1.36,Single
cb071,Cu/XLPE/LSZH/SWA/LSZH,4c,25,26.1,2.16,Single
cb072,Cu/XLPE/LSZH/SWA/LSZH,4c,35,28.6,2.69,Single
cb073,Cu/XLPE/LSZH/SWA/LSZH,4c,50,32,3.13,Single
cb074,Cu/XLPE/LSZH/SWA/LSZH,4c,70,37.7,4.5,Single
cb075,Cu/XLPE/LSZH/SWA/LSZH,4c,95,41.7,5.6,Single
cb076,Cu/XLPE/LSZH/SWA/LSZH,4c,120,47.1,7.4,Single
cb077,Cu/XLPE/LSZH/SWA/LSZH,4c,150,51.4,8.78,Single
cb078,Cu/XLPE/LSZH/SWA/LSZH,4c,185,56.6,10.63,Single
cb079,Cu/XLPE/LSZH/SWA/LSZH,4c,240,63,13.39,Single
cb080,Cu/XLPE/LSZH/SWA/LSZH,4c,300,63.6,14.998,Single
cb081,Cu/XLPE/LSZH/SWA/LSZH,5c,1.5,14.3,0.41,Single
cb082,Cu/XLPE/LSZH/SWA/LSZH,5c,2.5,16.3,0.47,Single
cb083,Cu/XLPE/LSZH/SWA/LSZH,5c,4,17.8,0.71,Single
cb084,Cu/XLPE/LSZH/SWA/LSZH,5c,6,20,0.876,Single
cb085,Cu/XLPE/LSZH/SWA/LSZH,5c,10,22.9,1.165,Single
cb086,Cu/XLPE/LSZH/SWA/LSZH,5c,16,26.6,1.742,Single
cb087,Cu/XLPE/LSZH/SWA/LSZH,5c,25,31.5,2.323,Single
cb088,Cu/XLPE/LSZH/SWA/LSZH,5c,35,34.8,2.932,Single
cb089,Cu/XLPE/LSZH/SWA/LSZH,5c,50,40.4,4.192,Single
cb090,Cu/XLPE/LSZH/SWA/LSZH,7c,1.5,15.2,0.47,Single
cb091,Cu/XLPE/LSZH/SWA/LSZH,7c,2.5,17.1,0.6,Single
cb092,Cu/XLPE/LSZH/SWA/LSZH,12c,1.5,19.4,0.78,Single
cb093,Cu/XLPE/LSZH/SWA/LSZH,12c,2.5,22.4,1,Single
cb094,Cu/XLPE/LSZH/SWA/LSZH,19c,1.5,22.2,1,Single
cb095,Cu/XLPE/LSZH/SWA/LSZH,19c,2.5,26.6,1.54,Single
cb096,Cu/XLPE/LSZH/SWA/LSZH,27c,1.5,26.7,1.5,Single
cb097,Cu/XLPE/LSZH/SWA/LSZH,27c,2.5,30.7,1.95,Single
cb098,Cu/XLPE/LSZH/SWA/LSZH,37c,1.5,29,1.8,Single
cb099,Cu/XLPE/LSZH/SWA/LSZH,37c,2.5,33.8,2.35,Single
cb100,Cu/XLPE/PVC/AWA/PVC,1c,50,17.5,0.8,Single
cb101,Cu/XLPE/PVC/AWA/PVC,1c,70,20.2,0.96,Single
cb102,Cu/XLPE/PVC/AWA/PVC,1c,95,22.3,1.24,Single
cb103,Cu/XLPE/PVC/AWA/PVC,1c,120,24.2,1.51,Single
cb104,Cu/XLPE/PVC/AWA/PVC,1c,150,27.4,1.9,Single
cb105,Cu/XLPE/PVC/AWA/PVC,1c,185,30,2.32,Single
cb106,Cu/XLPE/PVC/AWA/PVC,1c,240,32.8,2.93,Single
cb107,Cu/XLPE/PVC/AWA/PVC,1c,300,35.6,3.58,Single
cb108,Cu/XLPE/PVC/AWA/PVC,1c,400,40.5,4.6,Single
cb109,Cu/XLPE/PVC/AWA/PVC,1c,500,44.2,5.77,Single
cb110,Cu/XLPE/PVC/AWA/PVC,1c,630,48.8,7.25,Single
cb111,Cu/XLPE/PVC/AWA/PVC,1c,800,55.4,9.381,Single
cb112,Cu/XLPE/PVC/AWA/PVC,1c,1000,60.6,11.54,Single
cb113,Cu/XLPE/PVC/AWA/PVC,1c,50,17.5,0.8,Quadcleat
cb114,Cu/XLPE/PVC/AWA/PVC,1c,70,20.2,0.96,Quadcleat
cb115,Cu/XLPE/PVC/AWA/PVC,1c,95,22.3,1.24,Quadcleat
cb116,Cu/XLPE/PVC/AWA/PVC,1c,120,24.2,1.51,Quadcleat
cb117,Cu/XLPE/PVC/AWA/PVC,1c,150,27.4,1.9,Quadcleat
cb118,Cu/XLPE/PVC/AWA/PVC,1c,185,30,2.32,Quadcleat
cb119,Cu/XLPE/PVC/AWA/PVC,1c,240,32.8,2.93,Quadcleat
cb120,Cu/XLPE/PVC/AWA/PVC,1c,300,35.6,3.58,Quadcleat
cb121,Cu/XLPE/PVC/AWA/PVC,1c,400,40.5,4.6,Quadcleat
cb122,Cu/XLPE/PVC/AWA/PVC,1c,500,44.2,5.77,Quadcleat
cb123,Cu/XLPE/PVC/AWA/PVC,1c,630,48.8,7.25,Quadcleat
cb124,Cu/XLPE/PVC/AWA/PVC,1c,800,55.4,9.381,Quadcleat
cb125,Cu/XLPE/PVC/AWA/PVC,1c,1000,60.6,11.54,Quadcleat
cb126,Cu/XLPE/PVC/AWA/PVC,1c,50,17.5,0.8,Trefoil
cb127,Cu/XLPE/PVC/AWA/PVC,1c,70,20.2,0.96,Trefoil
cb128,Cu/XLPE/PVC/AWA/PVC,1c,95,22.3,1.24,Trefoil
cb129,Cu/XLPE/PVC/AWA/PVC,1c,120,24.2,1.51,Trefoil
cb130,Cu/XLPE/PVC/AWA/PVC,1c,150,27.4,1.9,Trefoil
cb131,Cu/XLPE/PVC/AWA/PVC,1c,185,30,2.32,Trefoil
cb132,Cu/XLPE/PVC/AWA/PVC,1c,240,32.8,2.93,Trefoil
cb133,Cu/XLPE/PVC/AWA/PVC,1c,300,35.6,3.58,Trefoil
cb134,Cu/XLPE/PVC/AWA/PVC,1c,400,40.5,4.6,Trefoil
cb135,Cu/XLPE/PVC/AWA/PVC,1c,500,44.2,5.77,Trefoil
cb136,Cu/XLPE/PVC/AWA/PVC,1c,630,48.8,7.25,Trefoil
cb137,Cu/XLPE/PVC/AWA/PVC,1c,800,55.4,9.381,Trefoil
cb138,Cu/XLPE/PVC/AWA/PVC,1c,1000,60.6,11.54,Trefoil
cb139,Cu/XLPE/PVC/SWA/PVC,2c,1.5,12.1,0.302,Single
